"Date","AQS_SITE_ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","484530014","2","3.7","ppb","3","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/02/2016","484530014","2","12.8","ppb","11","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/03/2016","484530014","2","8.3","ppb","8","22","92.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/04/2016","484530014","2","16.9","ppb","15","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/05/2016","484530014","2","16.7","ppb","15","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/06/2016","484530014","2","16.2","ppb","15","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/07/2016","484530014","2","13.9","ppb","12","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/08/2016","484530014","2","17.8","ppb","16","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/09/2016","484530014","2","-0.2","ppb","0","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/10/2016","484530014","2","6.7","ppb","6","23","96.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/11/2016","484530014","2","32.4","ppb","30","23","96.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/12/2016","484530014","2","36.8","ppb","34","20","83.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/13/2016","484530014","2","22.2","ppb","21","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/14/2016","484530014","2","16.6","ppb","15","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/15/2016","484530014","2","31.4","ppb","29","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/16/2016","484530014","2","18.2","ppb","17","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/17/2016","484530014","2","17.5","ppb","16","20","83.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/18/2016","484530014","2","24.9","ppb","23","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/19/2016","484530014","2","12.3","ppb","11","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/20/2016","484530014","2","11.3","ppb","10","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/21/2016","484530014","2","10.3","ppb","9","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/22/2016","484530014","2","4.6","ppb","4","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/23/2016","484530014","2","13.2","ppb","12","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/24/2016","484530014","2","10.6","ppb","9","22","92.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/25/2016","484530014","2","18.1","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/26/2016","484530014","2","5.9","ppb","5","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/27/2016","484530014","2","21.3","ppb","20","20","83.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/28/2016","484530014","2","27.8","ppb","25","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/29/2016","484530014","2","12.6","ppb","11","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/30/2016","484530014","2","11.2","ppb","10","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"01/31/2016","484530014","2","13","ppb","12","22","92.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"02/01/2016","484530014","2","9.5","ppb","8","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"02/02/2016","484530014","2","17","ppb","16","24","100.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
"02/03/2016","484530014","2","8.5","ppb","8","19","79.0000","42602","Nitrogen dioxide (NO2)","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354436","-97.760255"
